0;796
1;201097
2;49807
3;20753
4;13207
5;7257
6;4632
7;3243
8;2417
9;1866
10;1356
11;1042
12;911
13;784
14;634
15;493
16;427
17;422
18;303
19;287
20;250
21;230
22;205
23;177
24;171
25;172
26;128
27;97
28;104
29;103
30;82
31;83
32;85
33;73
34;78
35;75
36;69
37;48
38;36
39;53
40;41
41;47
42;34
43;43
44;35
45;31
46;30
47;37
48;24
49;22
50;15
51;16
52;15
53;28
54;16
55;18
56;17
57;19
58;19
59;16
60;15
61;18
62;12
63;16
64;8
65;14
66;10
67;9
68;10
69;9
70;11
71;8
72;11
73;6
74;9
75;10
76;6
77;3
78;7
79;7
80;5
81;4
82;9
83;8
84;6
85;3
86;7
87;6
88;3
89;4
90;3
91;4
92;3
93;3
94;5
95;4
96;9
97;2
98;4
99;2
100;2
101;3
102;2
103;6
104;3
105;2
106;1
107;3
108;2
109;1
110;3
111;1
112;3
113;2
114;3
115;3
116;1
117;3
118;1
119;1
120;3
121;2
122;1
125;1
126;1
128;4
129;2
130;3
131;4
132;4
133;3
134;1
135;1
136;1
138;1
139;1
140;1
141;1
143;1
144;1
147;2
148;2
149;1
150;1
151;2
152;1
153;2
155;1
157;2
160;1
162;2
168;1
169;1
172;1
174;1
179;1
184;1
189;1
195;1
197;2
200;2
204;1
210;2
216;1
219;1
220;1
236;2
237;1
238;1
267;1
271;2
273;1
277;1
289;1
331;1
349;1
365;1
427;1
479;1
488;1
513;1
561;1
609;1
618;1
820;1
